"pageid","session","party","constituency","constituency2","session_start","session_end","service","country","wikidataid","wikititle","name","sex","ethnicity","religion","birth","death","birthplace","deathplace"
"4847112",19,"CDU","Pinneberg","Schleswig-Holstein",2017-10-24,2021-10-24,1461,"DEU","Q1666351","Michael_von_Abercron","Michael von Abercron","male","white","protestantism lutheran",1952-11-17,NA,"54.2899,10.8321",NA
"10056907",19,"DIE LINKE","Landesliste","Bremen",2017-10-24,2021-10-24,1461,"DEU","Q40097453","Doris_Achelwilm","Doris Achelwilm","female","white","catholicism",1976-11-30,NA,"52.5,7.46667",NA
"10058957",19,"FDP","Landesliste","Niedersachsen",2017-10-24,2021-10-24,1461,"DEU","Q40998799","Grigorios_Aggelidis","Grigorios Aggelidis","male","white","orthodox eastern",1965-08-19,NA,"52.37444,9.73861",NA
"10057912",19,"DIE LINKE","Landesliste","Baden-Württemberg",2017-10-24,2021-10-24,1461,"DEU","Q40997638","Gökay_Akbulut","Gökay Akbulut","female",NA,NA,1982-11-16,NA,"37.4939,33.0192",NA
"7887360",19,"CDU","Landesliste","Niedersachsen",2017-10-24,2021-10-24,1461,"DEU","Q15093113","Stephan_Albani","Stephan Albani","male","white","protestantism lutheran",1968-06-03,NA,"51.53389,9.93556",NA
"10059043",19,"FDP","Landesliste","Baden-Württemberg",2017-10-24,2021-10-24,1461,"DEU","Q40997592","Renata_Alt","Renata Alt","female",NA,NA,1965-08-27,NA,"48.85,17.23333",NA
"4694078",19,"CDU","Main-Taunus","Hessen",2017-10-24,2021-10-24,1461,"DEU","Q1996643","Norbert_Altenkamp","Norbert Altenkamp","male","white",NA,1972-07-27,NA,"51.66667,7.11667",NA
"172073",19,"CDU","Saarlouis","Saarland",2017-10-24,2021-10-24,1461,"DEU","Q65539","Peter_Altmaier","Peter Altmaier","male","white","catholicism",1958-06-18,NA,"49.3,6.76667",NA
"10057667",19,"CDU","Mecklenburgische Seenplatte I – Vorpommern-Greifswald II","Mecklenburg-Vorpommern",2017-10-24,2021-10-24,1461,"DEU","Q40998607","Philipp_Amthor","Philipp Amthor","male","white",NA,1992-11-10,NA,"53.73333,14.03333",NA
"4758493",19,"BÜNDNIS 90/DIE GRÜNEN","Landesliste","Schleswig-Holstein",2017-10-24,2021-10-24,1461,"DEU","Q1876595","Luise_Amtsberg","Luise Amtsberg","female","white",NA,1984-10-17,NA,"54.08333,13.38333",NA
"172202",19,"BÜNDNIS 90/DIE GRÜNEN","Landesliste","Baden-Württemberg",2017-10-24,2021-10-24,1461,"DEU","Q95185","Kerstin_Andreae","Kerstin Andreae","female","white","protestantism lutheran",1968-10-21,NA,"48.22694,8.38417",NA
"109232",19,"SPD","Hamburg-Eimsbüttel","Hamburg",2017-10-24,2021-10-24,1461,"DEU","Q109362","Niels_Annen","Niels Annen","male","white","protestantism evangelical",1973-04-06,NA,"53.57583,9.95194",NA
