,politician,source,title,author,description,content,url,urlToImage,publishedAt,date_published,url_image
0,Michael von Abercron,Focus,"FOCUS-Online-Reportage aus Pinneberg - Laschets Schwäche kostete ihn seinen Job: ""Ihm fehlt etwas, das man nicht lernen kann""",Von FOCUS-Online-Autor Niklas Golitschek,"Der Trend der Bundestagswahl schlägt sich auch lokal nieder: In Schleswig-Holstein behauptet die CDU nur zwei Direktmandate. 2017 waren es noch zehn. Michael von Abercron, angetreten für den Wahlkreis Pinneberg, muss nach nur einer Legislaturperiode sein Bund…","Der Trend der Bundestagswahl schlägt sich auch lokal nieder: In Schleswig-Holstein behauptet die CDU nur zwei Direktmandate. 2017 waren es noch zehn. Michael von Abercron, angetreten für den Wahlkrei… [+7289 chars]",https://www.focus.de/politik/deutschland/bundestagswahl/focus-online-reportage-aus-pinneberg-laschet-kostete-ihn-seinen-job-ihm-fehlt-etwas-das-man-nicht-lernen-kann_id_24286701.html,,,2021-09-28T12:09:44Z,https://p6.focus.de/img/fotos/id_24286659/cdu-pinneberg-60.jpg?im=Crop%3D%280%2C250%2C2000%2C1000%29%3BResize%3D%281200%2C627%29&hash=d845231d5537e4e6c7b9c0da915dfe076cfd03dcfece8353a53ab61150f106c9
1,Michael von Abercron,Focus,"FOCUS-Online-Reportage aus Pinneberg - Laschet kostete ihn seinen Job: ""Ihm fehlt etwas, das man nicht lernen kann""",Von FOCUS-Online-Autor Niklas Golitschek,"Der Trend der Bundestagswahl schlägt sich auch lokal nieder: In Schleswig-Holstein behauptet die CDU nur zwei Direktmandate. 2017 waren es noch zehn. Michael von Abercron, angetreten für den Wahlkreis Pinneberg, muss nach nur einer Legislaturperiode sein Bund…","Der Trend der Bundestagswahl schlägt sich auch lokal nieder: In Schleswig-Holstein behauptet die CDU nur zwei Direktmandate. 2017 waren es noch zehn. Michael von Abercron, angetreten für den Wahlkrei… [+7289 chars]",https://www.focus.de/politik/deutschland/bundestagswahl/focus-online-reportage-aus-pinneberg-laschet-kostete-ihn-den-job-ihm-fehlt-etwas-das-man-nicht-lernen-kann_id_24286701.html,,,2021-09-29T04:13:34Z,https://p6.focus.de/img/fotos/id_24286659/cdu-pinneberg-60.jpg?im=Crop%3D%280%2C250%2C2000%2C1000%29%3BResize%3D%281200%2C627%29&hash=d845231d5537e4e6c7b9c0da915dfe076cfd03dcfece8353a53ab61150f106c9
2,Michael von Abercron,N-tv.de,Wahl-Ticker: +++ 11:47 Laschet: Niemand hat von Regierungsauftrag gesprochen +++,n-tv NACHRICHTEN,,"Unionskanzlerkandidat Armin Laschet unterstreicht in Beratungen der engsten CDU-Führungsspitze seine Bereitschaft, auch nach dem Absturz der Union bei der Bundestagswahl Verhandlungen über eine von i… [+14025 chars]",https://www.n-tv.de/politik/11-47-Laschet-Niemand-hat-von-Regierungsauftrag-gesprochen--article22822546.html,,,2021-09-27T09:14:00Z,https://bilder1.n-tv.de/img/incoming/crop22828560/6251325880-cImg_16_9-w1200/104bb4d1ae73eda3c40e1e9b446eb728.jpg
3,Michael von Abercron,Businessinsider.de,SaaS-Startup bekommt Geld von Project A und Philipp Westermeyer,Alex Hofmann,"Alles, was man über Startups wissen muss. Auf einen Blick. Die Kurznachrichten aus der Szene könnt ihr hier verfolgen.","Alles, was man über Startups wissen muss. Auf einen Blick. Die Kurznachrichten aus der Szene könnt ihr hier verfolgen.
30. September 2021: Das Hamburger Startup Heyflow schließt eine Seedrunde in Hö… [+20447 chars]",https://www.businessinsider.de/gruenderszene/news/startup-ticker-sept21-heyflow/,,,2021-09-30T08:23:00Z,https://cdn.businessinsider.de/wp-content/uploads/2021/02/202101_GS_Newsticker_Startup_Artikelbild_1230x820-1.jpg
4,Michael von Abercron,N-tv.de,Wahl-Ticker: +++ 20:40 Erstes Treffen von FDP und Grünen schon am Mittwoch +++,n-tv NACHRICHTEN,,"FDP-Chef Christian Lindner kündigt nach der Wahl an, als erstes mit den Grünen reden zu wollen. Und am Mittwoch soll es laut ""Spiegel"" bereits soweit sein. Lindner und Volker Wissing für die Liberale… [+36372 chars]",https://www.n-tv.de/politik/20-40-Erstes-Treffen-von-FDP-und-Gruenen-schon-am-Mittwoch--article22822546.html,,,2021-09-27T15:23:00Z,https://bilder1.n-tv.de/img/incoming/crop22828560/6251325880-cImg_16_9-w1200/104bb4d1ae73eda3c40e1e9b446eb728.jpg
5,Michael von Abercron,N-tv.de,"Wahl-Ticker: +++ 02:53 OSZE-Wahlbeobachter haben von Wahlchaos in Berlin ""Notiz genommen"" +++",n-tv NACHRICHTEN,,"Die IG Metall spricht sich nach der Bundestagswahl für eine Ampelkoalition von SPD, Grünen und FDP aus. ""Wir wollen eine Koalition, die progressive Politik möglich macht, die Zukunftsinvestitionen un… [+45465 chars]",https://www.n-tv.de/politik/03-15-IG-Metall-fuer-Ampel-Koalition--article22822546.html,,,2021-09-27T15:23:00Z,https://bilder4.n-tv.de/img/incoming/crop22828559/3351322713-cImg_16_9-w1200/5c0f5e8bd06047c66b1063e6d550bc80.jpg
6,Michael von Abercron,N-tv.de,Wahl-Ticker: +++ 13:19 Laschet räumt eigene Fehler ein +++,n-tv NACHRICHTEN,,"CDU-Chef Armin Laschet hat in den Gremien nach Teilnehmerangaben persönliche Fehler eingestanden. ""Wir werden dieses Ergebnis analysieren und unbedingt aufarbeiten, nicht nur in den Gremien, sondern … [+17243 chars]",https://www.n-tv.de/politik/13-19-Laschet-raeumt-eigene-Fehler-ein--article22822546.html,,,2021-09-27T09:14:00Z,https://bilder4.n-tv.de/img/incoming/crop22828559/3351322713-cImg_16_9-w1200/5c0f5e8bd06047c66b1063e6d550bc80.jpg
7,Michael von Abercron,N-tv.de,Wahl-Ticker: +++ 13:01 Greenpeace fordert Sofortprogramm gegen Klimakrise +++,n-tv NACHRICHTEN,,"Greenpeace fordert von der neuen Bundesregierung mehr Umweltschutz. ""Ganz gleich welche Parteien die nächste Bundesregierung stellen, sie wird viel entschlossener und mit einem Sofortprogramm Antwort… [+16760 chars]",https://www.n-tv.de/politik/13-01-Greenpeace-fordert-Sofortprogramm-gegen-Klimakrise--article22822546.html,,,2021-09-27T09:14:00Z,https://bilder1.n-tv.de/img/incoming/crop22828560/6251325880-cImg_16_9-w1200/104bb4d1ae73eda3c40e1e9b446eb728.jpg
8,Michael von Abercron,N-tv.de,Wahl-Ticker: +++ 12:45 Bayern hat höchste Wahlbeteiligung aller Bundesländer +++,n-tv NACHRICHTEN,,"Die Bayern waren bei der Bundestagswahl am fleißigsten: Mit 79,8 Prozent weist der Freistaat die höchste Wahlbeteiligung aller Bundesländer auf, wie aus vorläufigen Zahlen des Bundeswahlleiters hervo… [+16201 chars]",https://www.n-tv.de/politik/12-45-Bayern-hat-hoechste-Wahlbeteiligung-aller-Bundeslaender--article22822546.html,,,2021-09-27T09:14:00Z,https://bilder1.n-tv.de/img/incoming/crop22828560/6251325880-cImg_16_9-w1200/104bb4d1ae73eda3c40e1e9b446eb728.jpg
9,Michael von Abercron,N-tv.de,Wahl-Ticker: +++ 12:18 Deutliche Kritik im CSU-Vorstand an Laschet wird laut +++,n-tv NACHRICHTEN,,"Im CSU-Vorstand ist deutliche Kritik an CDU-Chef und Kanzlerkandidat Armin Laschet laut geworden. CSU-Landesgruppenchef Alexander Dobrindt äußert in der Vorstandssitzung nach Teilnehmerangaben, es ha… [+15653 chars]",https://www.n-tv.de/politik/12-18-Deutliche-Kritik-im-CSU-Vorstand-an-Laschet-wird-laut--article22822546.html,,,2021-09-27T09:14:00Z,https://bilder3.n-tv.de/img/incoming/crop22828558/1921328921-cImg_16_9-w1200/f6a5f50eb208861c561c3d729cd3ed91.jpg
