,politician,source,title,author,description,content,url,urlToImage,publishedAt,url_image,date_published
0,Michael von Abercron,Focus,"FOCUS-Online-Reportage aus Pinneberg - Laschets Schwäche kostete ihn seinen Job: ""Ihm fehlt etwas, das man nicht lernen kann""",Von FOCUS-Online-Autor Niklas Golitschek,"Der Trend der Bundestagswahl schlägt sich auch lokal nieder: In Schleswig-Holstein behauptet die CDU nur zwei Direktmandate. 2017 waren es noch zehn. Michael von Abercron, angetreten für den Wahlkreis Pinneberg, muss nach nur einer Legislaturperiode sein Bund…","Der Trend der Bundestagswahl schlägt sich auch lokal nieder: In Schleswig-Holstein behauptet die CDU nur zwei Direktmandate. 2017 waren es noch zehn. Michael von Abercron, angetreten für den Wahlkrei… [+7289 chars]",https://www.focus.de/politik/deutschland/bundestagswahl/focus-online-reportage-aus-pinneberg-laschet-kostete-ihn-seinen-job-ihm-fehlt-etwas-das-man-nicht-lernen-kann_id_24286701.html,,,https://p6.focus.de/img/fotos/id_24286659/cdu-pinneberg-60.jpg?im=Crop%3D%280%2C250%2C2000%2C1000%29%3BResize%3D%281200%2C627%29&hash=d845231d5537e4e6c7b9c0da915dfe076cfd03dcfece8353a53ab61150f106c9,2021-09-28T12:09:44Z
1,Michael von Abercron,Focus,"FOCUS-Online-Reportage aus Pinneberg - Laschet kostete ihn seinen Job: ""Ihm fehlt etwas, das man nicht lernen kann""",Von FOCUS-Online-Autor Niklas Golitschek,"Der Trend der Bundestagswahl schlägt sich auch lokal nieder: In Schleswig-Holstein behauptet die CDU nur zwei Direktmandate. 2017 waren es noch zehn. Michael von Abercron, angetreten für den Wahlkreis Pinneberg, muss nach nur einer Legislaturperiode sein Bund…","Der Trend der Bundestagswahl schlägt sich auch lokal nieder: In Schleswig-Holstein behauptet die CDU nur zwei Direktmandate. 2017 waren es noch zehn. Michael von Abercron, angetreten für den Wahlkrei… [+7289 chars]",https://www.focus.de/politik/deutschland/bundestagswahl/focus-online-reportage-aus-pinneberg-laschet-kostete-ihn-den-job-ihm-fehlt-etwas-das-man-nicht-lernen-kann_id_24286701.html,,,https://p6.focus.de/img/fotos/id_24286659/cdu-pinneberg-60.jpg?im=Crop%3D%280%2C250%2C2000%2C1000%29%3BResize%3D%281200%2C627%29&hash=d845231d5537e4e6c7b9c0da915dfe076cfd03dcfece8353a53ab61150f106c9,2021-09-29T04:13:34Z
2,Michael von Abercron,N-tv.de,Wahl-Ticker: +++ 13:06 Bleibt Pinneberg das Wahl-Orakel? +++,n-tv NACHRICHTEN,,"Der Countdown läuft, am Sonntag schlägt nach monatelangem Wahlkampf die Stunde der Wahrheit für die Parteien. Stimmen die Umfragen? Wird die SPD die Wahl gewinnen? Oder zieht die Union noch an der SP… [+2106 chars]",https://www.n-tv.de/politik/13-06-Bleibt-Pinneberg-das-Wahl-Orakel--article22822546.html,,,,2021-09-23T11:04:03Z
3,Michael von Abercron,N-tv.de,"Wahl-Ticker: +++ 13:43 Merkel in Greifswald: ""Wollte noch mal Arrivederci sagen"" +++",n-tv NACHRICHTEN,,"In einer Kantar-Umfrage für den ""Focus"" kann die Union ihren Rückstand zur SPD leicht verringern. CDU/CSU legen einen Punkt auf 21 Prozent zu. Die SPD büßt gegenüber der Vorwoche einen Punkt ein und … [+4015 chars]",https://www.n-tv.de/politik/14-02-Neue-Umfrage-Union-verringert-Abstand-zur-SPD--article22822546.html,,,,2021-09-23T11:04:03Z
4,Michael von Abercron,N-tv.de,"Wahl-Ticker: +++ 13:20 Laschet-Nachfolge soll ""nach Oktober"" geklärt werden +++",n-tv NACHRICHTEN,,"Der Countdown läuft, am Sonntag schlägt nach monatelangem Wahlkampf die Stunde der Wahrheit für die Parteien. Stimmen die Umfragen? Wird die SPD die Wahl gewinnen? Oder zieht die Union noch an der SP… [+2874 chars]",https://www.n-tv.de/politik/13-20-Laschet-Nachfolge-soll-nach-Oktober-geklaert-werden--article22822546.html,,,,2021-09-23T11:04:03Z
5,Michael von Abercron,N-tv.de,Wahl-Ticker: +++ 14:55 Söder am Wahlabend nicht in München +++,n-tv NACHRICHTEN,,"CSU-Chef Markus Söder wird am Wahlabend in Berlin und nicht in der CSU-Zentrale in München sein. Söder werde in Berlin vor Ort an der sogenannten Elefantenrunde der Parteivorsitzenden teilnehmen, bes… [+5369 chars]",https://www.n-tv.de/politik/14-55-Soeder-am-Wahlabend-nicht-in-Muenchen--article22822546.html,,,,2021-09-23T12:54:00Z
6,Michael von Abercron,N-tv.de,Wahl-Ticker: +++ 14:28 Klimaliste: Nicht die Union wählen +++,n-tv NACHRICHTEN,,"Die Partei Klimaliste rät ihren Anhängern davon ab, bei der Bundestagswahl am 26. September CDU oder CSU zu wählen. ""Wir sind der Überzeugung, dass die Union in die Opposition gehört"", sagte ein Spre… [+4835 chars]",https://www.n-tv.de/politik/14-28-Klimaliste-Nicht-die-Union-waehlen--article22822546.html,,,,2021-09-23T11:04:03Z
7,Michael von Abercron,N-tv.de,Wahl-Ticker: +++ 16:39 Drei von vier Wählern haben sich entschieden +++,n-tv NACHRICHTEN,,"Für die meisten Wähler sind die Würfel zur Bundestagswahl gefallen - welche Koalition nach Sonntag rauskommen könnte, ist dagegen völlig offen. Kurz vor der Abstimmung haben sich drei von vier Wahlbe… [+10784 chars]",https://www.n-tv.de/politik/16-39-Drei-von-vier-Waehlern-haben-sich-entschieden--article22822546.html,,,,2021-09-23T14:29:00Z
8,Michael von Abercron,N-tv.de,"Wahl-Ticker: +++ 15:25 WSJ: ""Merkel hat diese Herausforderungen in den Sand gesetzt"" +++",n-tv NACHRICHTEN,,"Zur Bundestagswahl schreibt das ""Wall Street Journal"": ""Deutschlands nächster Regierungschef muss die wirtschaftliche Erholung von der Pandemie steuern, die Beziehungen zu Washington nach dem Afghani… [+7564 chars]",https://www.n-tv.de/politik/15-25-WSJ-Merkel-hat-diese-Herausforderungen-in-den-Sand-gesetzt--article22822546.html,,,,2021-09-23T13:25:00Z
9,Michael von Abercron,N-tv.de,Wahl-Ticker: +++ 17:28 Umfrage: Wie gut funktionieren Wahlplakate? +++,n-tv NACHRICHTEN,,"""Für ein gutes Leben im Alter"" - von welcher Partei stammt dieser Slogan? Wahlplakate sollen kurze, einprägsame Botschaften transportieren. Parteien hoffen, damit gerade unentschlossene Wähler zu übe… [+12010 chars]",https://www.n-tv.de/politik/17-28-Umfrage-Wie-gut-funktionieren-Wahlplakate--article22822546.html,,,,2021-09-23T15:03:00Z
