parlspeech_id,n_speech,min_date_speech,max_date_speech,mean_terms_speech,pageid,wikidataid
Achim Großmann_SPD,226,1991-03-12,2002-06-26,345.48230088495575,174000,Q340387
Achim Kessler_PDS/LINKE,13,2018-04-26,2018-12-13,281.2307692307692,NA,NA
Achim Post_SPD,18,2014-05-08,2018-11-21,657.5,NA,NA
Adelheid Tröscher_SPD,33,1995-06-29,2002-06-13,820.1212121212121,261258,Q354647
Adolf Herkenrath_CDU/CSU,4,1991-09-26,1994-04-28,701.75,3488974,Q362100
Adolf Ostertag_SPD,101,1991-03-14,2002-06-06,635.5247524752475,3314903,Q363517
Adolf Roth_CDU/CSU,67,1991-03-12,2000-12-01,951.5223880597015,2287185,Q363697
Agnes Alpers_PDS/LINKE,52,2009-12-17,2013-06-28,276.46153846153845,4754033,Q394447
Agnes Brugger_GRUENE,24,2012-03-22,2013-06-13,506.75,4783408,Q109309
Agnes Krumwiede_GRUENE,27,2009-11-10,2013-06-27,545.6296296296297,4777169,Q110883
Agnes Malczak_GRUENE,31,2009-12-03,2011-11-10,511.35483870967744,NA,NA
Agnieszka Brugger_GRUENE,114,2013-11-28,2018-11-29,539.6228070175439,NA,NA
Albert Deß_CDU/CSU,166,1991-06-20,2004-07-02,415.644578313253,173925,Q85528
Albert H. Weiler_CDU/CSU,1,2018-12-14,2018-12-14,230,NA,NA
Albert Pfuhl_SPD,30,1991-09-27,1994-06-16,450.46666666666664,1361345,Q1301457
Albert Probst_CDU/CSU,5,1991-11-07,1995-11-22,598.2,994523,Q119696
Albert Rupprecht_CDU/CSU,130,2003-03-13,2018-11-22,465.9846153846154,822008,Q1738272
Albert Schmidt_GRUENE,307,1995-02-09,2005-04-21,450.5602605863192,986967,Q2638751
Albert Stegemann_CDU/CSU,26,2014-03-14,2018-11-20,545.7307692307693,NA,NA
Albert Weiler_CDU/CSU,45,2014-01-29,2018-11-30,377.5111111111111,NA,NA
Albrecht Feibel_CDU/CSU,53,2000-09-15,2005-05-11,329.8490566037736,292214,Q2639764
Albrecht Glaser_AfD,44,2018-01-18,2018-12-13,216.77272727272728,NA,NA
Albrecht Müller_SPD,42,1991-03-14,1994-06-16,209.97619047619048,92453,Q1623388
Albrecht Papenroth_SPD,5,1996-06-20,2000-04-06,436,3370637,Q2639917
Alexander Bonde_GRUENE,110,2002-12-04,2011-03-18,709.2181818181818,275247,Q98804
Alexander Dobrindt_CDU/CSU,250,2003-01-30,2018-11-21,438.456,291078,Q85783
Alexander Funk_CDU/CSU,22,2010-01-19,2016-09-22,543.3181818181819,1793218,Q2642144
Alexander Gauland_AfD,19,2017-11-21,2018-11-21,622.4736842105264,NA,NA
Alexander Graf Lambsdorff_FDP,54,2017-11-21,2018-12-13,342.3333333333333,NA,NA
Alexander Hoffmann_CDU/CSU,120,2014-02-14,2018-12-14,432.4583333333333,NA,NA
Alexander Krauß_CDU/CSU,13,2018-02-22,2018-12-13,285.61538461538464,NA,NA
Alexander Kulitz_FDP,2,2018-03-15,2018-03-22,464.5,NA,NA
Alexander Müller_FDP,9,2018-02-23,2018-12-13,316.8888888888889,NA,NA
Alexander Radwan_CDU/CSU,45,2014-03-13,2018-12-13,605.0888888888888,NA,NA
Alexander S. Neu_PDS/LINKE,113,2013-11-28,2018-12-13,290.353982300885,NA,NA
Alexander Süßmair_PDS/LINKE,41,2010-01-19,2013-06-13,470.0731707317073,4764351,Q2643127
Alexander Throm_CDU/CSU,13,2018-02-22,2018-11-29,383,NA,NA
Alexander Ulrich_PDS/LINKE,140,2006-01-26,2018-10-17,450.3,984835,Q2643176
Alexander Warrikoff_CDU/CSU,30,1991-09-05,1994-06-29,457.23333333333335,6191665,Q2643229
Alexandra Dinges-Dierig_CDU/CSU,19,2014-04-03,2017-05-31,588,NA,NA
Alfons Müller_CDU/CSU,15,1991-03-20,1994-06-17,289.8666666666667,2750374,Q2644429
Alfred Dregger_CDU/CSU,19,1991-03-13,1998-03-26,1100.0526315789473,73446,Q65389
Alfred Hartenbach_SPD,112,1995-02-17,2009-02-12,470.2232142857143,173813,Q103781
Alice Weidel_AfD,15,2017-11-21,2018-11-21,632.1333333333333,NA,NA
Alois Gerig_CDU/CSU,49,2010-02-25,2018-09-28,482.46938775510205,4748564,Q2650232
Alois Graf von Waldburg-Zeil_CDU/CSU,78,1991-06-13,1998-06-17,537.1794871794872,413173,Q1304832
Alois Karl_CDU/CSU,113,2006-01-26,2018-11-30,504.86725663716817,985048,Q2650287
Alois Rainer_CDU/CSU,69,2014-02-20,2018-11-29,519.0289855072464,NA,NA
Amira Mohamed Ali_PDS/LINKE,19,2018-01-18,2018-11-09,551.1578947368421,NA,NA
Amke Dietert-Scheuer_GRUENE,91,1995-01-19,1998-06-17,239.24175824175825,173786,Q472533
André Berghegger_CDU/CSU,31,2014-04-03,2018-11-23,1016.7096774193549,NA,NA
André Hahn_PDS/LINKE,76,2014-01-15,2018-12-12,434.11842105263156,NA,NA
Andrea Astrid Voßhoff_CDU/CSU,49,2003-06-04,2013-06-27,902.0612244897959,672715,Q493348
Andrea Fischer_GRUENE,189,1994-12-16,2002-07-05,750.6719576719577,60093,Q64528
Andrea Gysi_PDS/LINKE,11,1996-12-13,1998-03-26,800.7272727272727,NA,NA
Andrea Lederer_PDS/LINKE,112,1991-03-22,1994-09-21,617.5982142857143,732624,Q494020
Andrea Lindholz_CDU/CSU,116,2014-01-31,2018-11-29,462.4568965517241,NA,NA
Andrea Nahles_SPD,248,1998-12-03,2018-11-21,490.35483870967744,131050,Q62810
Andrea Voßhoff_CDU/CSU,26,1998-12-03,2003-05-21,475.15384615384613,NA,NA
Andrea Wicklein_SPD,55,2003-02-13,2015-06-11,649.7818181818182,673284,Q495245
Andreas Birkmann_CDU/CSU,3,2001-03-15,2001-05-18,977,NA,NA
Andreas Bleck_AfD,8,2018-02-02,2018-11-20,265.375,NA,NA
Andreas G. Lämmel_CDU/CSU,139,2009-12-17,2018-12-14,573.9064748201439,NA,NA
Andreas Jung_CDU/CSU,123,2005-12-16,2018-11-29,664.4227642276422,985074,Q98768
Andreas Krautscheid_CDU/CSU,25,1995-02-16,1998-04-30,519.88,969789,Q498994
Andreas Lämmel_CDU/CSU,1,2010-07-08,2010-07-08,594,965828,Q499373
Andreas Lenz_CDU/CSU,59,2014-01-30,2018-11-30,593.7796610169491,NA,NA
Andreas Mattfeldt_CDU/CSU,55,2010-01-21,2018-11-22,692.6545454545454,4754626,Q499449
Andreas Mrosek_AfD,2,2018-06-27,2018-06-27,332,NA,NA
Andreas Nick_CDU/CSU,41,2014-02-20,2018-12-12,622.170731707317,NA,NA
Andreas Pinkwart_FDP,64,2002-11-14,2008-03-06,513.640625,171649,Q109936
Andreas Rimkus_SPD,13,2014-09-12,2018-11-22,704.0769230769231,NA,NA
Andreas Scheuer_CDU/CSU,143,2002-12-18,2018-11-20,370.7762237762238,984924,Q500381
Andreas Schmidt_CDU/CSU,76,1991-10-10,2006-12-14,534.3552631578947,301152,Q500491
Andreas Schockenhoff_CDU/CSU,165,1991-06-20,2014-09-11,679.769696969697,175618,Q500526
Andreas Schwarz_SPD,30,2014-02-12,2018-11-30,643.5666666666667,NA,NA
Andreas Steier_CDU/CSU,4,2018-06-15,2018-11-30,735.75,NA,NA
Andreas Steppuhn_SPD,20,2006-01-26,2008-11-13,806.95,984862,Q500805
Andreas Storm_CDU/CSU,119,1995-03-10,2005-06-17,498.5798319327731,190068,Q500829
Andreas Trautvetter_CDU/CSU,6,1993-03-12,1999-09-09,426,NA,NA
Andreas von Bülow_SPD,8,1992-01-16,1994-06-23,920.5,68875,Q66619
Andreas Wagner_PDS/LINKE,2,2018-03-01,2018-04-20,315,NA,NA
Andreas Weigel_SPD,19,2003-06-18,2009-04-22,808.2105263157895,984820,Q501178
Andrej Hunko_PDS/LINKE,154,2010-09-29,2018-12-12,215.41558441558442,4756767,Q99704
Andrej Konstantin Hunko_PDS/LINKE,14,2009-11-25,2010-06-10,210.42857142857142,NA,NA
Andrew Ullmann_FDP,5,2018-07-03,2018-12-13,441.8,NA,NA
Anette Hübinger_CDU/CSU,46,2006-09-29,2016-11-24,914.2608695652174,985060,Q529520
Anette Kramme_SPD,113,1999-01-22,2013-11-28,591.7345132743363,665625,Q529526
